本音ID;区分;本音（本人の言葉）;人には言いづらい理由;開示区分;相手に伝わる言い方（AIによる翻訳）;マッチングへの効き方;隠したまま進むと起きること;関連観点ID;関連事例ID
H-01;結婚に求めるもの;愛はいらない、金があればいい。;打算的だと見られるのが怖い。口に出した時点で人格を疑われる。;翻訳して開示;結婚生活では経済的な安定を最優先に考えています。情緒的な距離感は、お互いに無理のない範囲で築いていきたいです。;同じ優先順位の相手と当てる。恋愛感情の強さを重視する相手を最初から外せる。;真剣交際で「気持ちが感じられない」と言われて終わる。理由が本人にも説明できない。;V-07;CS-005
H-02;生活能力;ぶっちゃけ家事はまったくできない。やる気もない。;結婚相手として失格だと思われる。特に「できて当たり前」とされる側は言い出せない。;開示必須;家事は不得手で、結婚後も大きくは変わらない見込みです。外部サービスの利用や分担の偏りを前提に考えており、その分の費用は私が負担します。;家事を担いたい相手、または外注を前提にできる相手と当たる。;同居の準備段階で表面化し、「話が違う」となる。CS-004と同じ経路。;V-06;CS-004
H-03;役割観;かなり前時代的な考えを持っているし、変えるつもりもない。;批判される。時代遅れだと断じられる。相談員にも言いにくい。;開示必須;家庭内の役割について、はっきりした考えを持っています。家計は私が、家事育児は配偶者が担う形を望みます。これは結婚後も変えない前提でお相手を探しています。;同じ考えの相手は実在する。隠すから破綻するのであって、開示すれば成立する。;真剣交際以降で必ず衝突する。双方が「騙された」と感じて終わる。;V-06;CS-004
H-04;結婚の目的;正直「既婚者」という立場が欲しい。世間体を保ちたい。;相手を手段にしていると思われる。最も口に出しにくい本音。;開示必須;結婚という形を持つこと自体を重視しています。生活の実態については、お互いの希望をすり合わせたいと考えています。;同じ考えの相手は実在する。合意のうえでなら成立する。合意がなければ成立させてはいけない。;相手が「愛されていない」と感じ、結婚後に破綻する。相手側の不利益が最も大きい類型。;V-20;CS-019
H-05;家計;収入は申告より少ない。借入もある。;経済力で評価される場面では、言った瞬間に選ばれなくなると考えてしまう。;開示必須;現在の収入と借入の状況をお伝えします。返済の見通しも含めて、早い段階で共有したいと考えています。;数字を先に出すことで、受け入れられる相手とだけ進める。;プロポーズ後に判明し、両家の関係まで壊れる。CS-006そのもの。;V-08;CS-006
H-06;ライフプラン;本当は子どもを望んでいない。でも周囲には言えない。;親や周囲の期待があり、「望まない」と言うこと自体が許されない空気がある。;開示必須;子どもを持たない生き方を希望しています。二人の生活を大切にするお相手を探しています。;望まない者どうしで当たれば、双方にとって最良の結果になる。;「いずれは」と曖昧に答えたまま仮交際に入り、3か月後に終わる。CS-003そのもの。;V-03;CS-003
H-07;家族;親の介護がほぼ確実に来る。言えば避けられると思う。;重荷だと受け取られる。交際の入口で不利になると本人が確信している。;開示必須;両親の介護が数年内に始まる見通しです。兄弟姉妹との分担も含め、具体的な想定をお伝えできます。;受け止められる相手とだけ進める。先に言うほど相手の納得は得やすい。;両家顔合わせの場で初めて伝わる。CS-018そのもの。;V-05;CS-018
H-08;相手への条件;相手の容姿や年収に、口に出せない条件がある。;差別的だと思われる。相談員の前では「こだわらない」と答えてしまう。;本人のみ;（相手には出さない。本人の中で「避けたい条件」として言語化し、断る理由の説明に使う）;本人が納得して断れるようになり、相談員の調整も空回りしなくなる。;すべて「こだわらない」と答え、お見合い10回すべてを断る。CS-019そのもの。;V-20;CS-019
H-09;経歴;前の結婚が終わった理由を、正直には言えない。;非があったと見られる。事実をそのまま話すと相手が引く。;翻訳して開示;前の結婚については、私の側にも改めるべき点がありました。具体的にどう変えたかをお話しできます。;事実の開示ではなく、そこから何が変わったかで判断してもらえる。;受け入れの可否だけが議論され、関わり方まで踏み込めない。CS-014と同じ経路。;V-16;CS-014
H-10;健康;通院していることを言うと避けられそうで怖い。;健康を理由に断られた経験があると、次はもっと言えなくなる。;翻訳して開示;通院を続けていますが、日常生活に支障はありません。ライフプランに関わる部分は、真剣交際に入る段階で詳しくお伝えします。;伝える時期を本人が決められる。相談員が間に立てる。;共有の機会がないままプロポーズに至り、双方が深く傷つく。CS-015そのもの。;V-17;CS-015
H-11;相手の家族;正直、相手のご家族とは深く関わりたくない。;冷たい人間だと思われる。「家族を大切にしない人」と受け取られる。;翻訳して開示;お互いの実家とは、適度な距離を保った付き合いを希望します。帰省は年に数回を想定しています。;頻度を数字で出すことで、擦り合わせが可能な条件になる。;毎週末の帰省が前提だった相手と、仮交際3か月で終わる。CS-009そのもの。;V-11;CS-009
H-12;生活;結婚しても今の生活（趣味・友人）を一切変えたくない。;自分勝手だと思われる。「家庭を優先しない人」と見られる。;翻訳して開示;趣味と友人との時間は結婚後も続けたいと考えています。そのうえで、家庭の時間をどう確保するかを一緒に決めたいです。;同じ生活を望む相手、または干渉しない相手と当たる。;結婚後に「話が違う」となる。CS-013と同じ経路。;V-15;CS-013
