条件ID;区分;口に出せない条件（本人の言葉）;なぜ言えないか;判定;裏にある本当の望み;CLARAの扱い;絞り込みに使う形（置き換え後）;関連観点ID
F-01;容姿;太っている人は無理。;外見で人を選ぶ人間だと見られる。相談員の前ではまず言えない。;代理指標（本当の望みに降ろす）;健康管理を一緒にしたい。生活習慣が近い人がいい。;体型を条件にせず、生活習慣の希望に置き換える。;食生活や運動の習慣について、近い感覚をお持ちの方;V-09
F-02;経済;年収600万以上でないと無理。;打算的だと思われる。金額を口にした時点で品定めに見える。;代理指標（本当の望みに降ろす）;経済的な不安なく暮らしたい。生活水準を落としたくない。;本人単独の年収ではなく、二人で達成する世帯年収に置き換える。;世帯年収で目標額を達成できること。家計の考え方が合うこと;V-07
F-03;容姿;身長は170cm以上でないと。;理由を説明できない条件だと自分でも分かっている。;代理指標（本当の望みに降ろす）;並んだときに見劣りしたくない。周囲にどう見られるかが気になる。;相手の属性ではなく本人の不安なので、絞り込みには使わない。本人の希望として保持する。;（絞り込みには使わない。本人の希望として記録するのみ）;V-20
F-04;学歴;大卒でないと話が合わない。;学歴で人を見ていると思われる。;代理指標（本当の望みに降ろす）;話が合ってほしい。考える習慣や関心の対象が近い人がいい。;学歴を条件にせず、関心の近さに置き換える。;関心の対象や話題の広さが近いこと;V-15
F-05;職業;非正規雇用の人は避けたい。;相手の立場を否定することになる。口に出しにくい。;代理指標（本当の望みに降ろす）;収入が安定していてほしい。将来の見通しが立つこと。;雇用形態ではなく、収入の安定性と見通しに置き換える。;収入の見通しを具体的に共有できること;V-18
F-06;家族構成;長男は避けたい。;家の事情で人を除外していると見られる。当人の責任ではないため特に言いづらい。;正当（言語化して使う）;同居したくない。実家の行事や介護を背負いたくない。;属性ではなく事実で切る。長男でも同居しない人は候補に残る。;同居の予定がないこと。帰省は年に数回であること;V-04
F-07;家族構成;親が高齢の人は避けたい。介護が来るから。;冷たい人間だと思われる。最も口に出しにくい条件のひとつ。;正当（言語化して使う）;介護を前提にした結婚生活は避けたい。見通しを知ったうえで決めたい。;年齢で切らず、介護の見通しを共有できるかで判断する。;介護の見通しを具体的に共有できること;V-05
F-08;年齢;子どもを考えると、相手は◯歳まで。;年齢で人を選ぶと強く批判される。特に口に出しにくい。;正当（言語化して使う）;子どもを持ちたい。そのための時間の前提を合わせたい。;年齢そのものではなく、ライフプランの一致で判断する。同じ希望を持つ年上の相手は候補に残る。;子どもを持つ希望とその時期について、同じ前提で話せること;V-03
F-09;婚歴;再婚は構わないが、お子さんがいる方は難しい。;子どもの存在を理由に断ることへの後ろめたさがある。;正当（言語化して使う）;自分が親としての役割を担えるか自信がない。;受け入れの可否ではなく、関わり方の希望が一致するかで判断する。;お子さんとの関わり方について、希望が一致すること;V-16
F-10;健康;持病がある人は避けたい。;差別だと言われる。自分でも正当化できないと感じている。;絞り込み不可（論点のみ）;将来の負担が読めないことが不安。;属性による排除にあたるため、絞り込み条件にしない。必要な配慮とライフプランへの影響を論点として扱う。;（絞り込みには使わない。配慮とライフプランの論点として共有する）;V-17
F-11;国籍・出身;国籍や出身地で避けたい相手がいる。;差別そのものであり、口に出せない。;絞り込み不可（論点のみ）;言語や生活習慣が違うと続かないのではという不安。;CLARAは条件として受け付けない。入力されても条件化せず、言語と生活習慣のすり合わせという論点に置き換える。;（条件化しない。言語・生活習慣のすり合わせを論点として扱う）;―
F-12;信仰;特定の信仰がある人は避けたい。;信条による排除にあたる。;絞り込み不可（論点のみ）;家庭内の慣習が合わないのではという不安。;信仰の有無では切らず、家庭内の慣習をすり合わせられるかを論点にする。;（絞り込みには使わない。家庭内の慣習を論点として共有する）;V-12
F-13;家族・経済;実家が裕福な人がいい。借金のある家は避けたい。;家柄で選んでいると見られる。;代理指標（本当の望みに降ろす）;結婚後に経済的な負担が持ち込まれないこと。;実家の資産ではなく、結婚後の経済的な前提を共有できるかに置き換える。;結婚後の経済的な前提を、双方の実家の状況も含めて共有できること;V-08
F-14;生活;家事ができない人は無理。;相手に求めすぎだと思われる。自分もできない場合はなおさら言えない。;正当（言語化して使う）;家事の負担が自分に偏ることを避けたい。;そのまま条件として使う。本音マスタ H-02（自分は家事ができない）と対になり、この二人は合わないと先に分かる。;家事・育児の分担について、希望が一致すること;V-06
F-15;嗜好;ギャンブルをする人は無理。;人格を否定していると受け取られる。;正当（言語化して使う）;家計が不安定になることを避けたい。;嗜好の有無ではなく、家計における位置づけで判断する。;趣味に使う費用の上限を、家計の中で決められること;V-07
F-16;連絡;返信が遅い人は無理。;些細な条件だと思われる。本人も口に出しにくい。;正当（言語化して使う）;連絡が途切れると不安になる。;そのまま条件として使う。相性ではなく擦り合わせ可能な条件として扱う。;連絡の頻度について、希望が一致すること;V-19
F-17;性格;話がつまらない人は無理。;相手を侮辱することになる。最も言語化しにくい条件。;代理指標（本当の望みに降ろす）;沈黙が苦にならない相手がいい。自分から話題を作らなくていい相手がいい。;事前の絞り込みには使えない。お見合い後の振り返りで、断った理由から言語化する。;（絞り込みには使わない。断った理由の言語化に使う）;V-20
F-18;家族;マザコンの人は無理。;相手とその家族を同時に否定することになる。;代理指標（本当の望みに降ろす）;実家が意思決定に入ってくるのを避けたい。;人格評価ではなく、実家との距離感という測れる形に置き換える。;実家との距離感（帰省の頻度と、夫婦で決められる範囲）が合うこと;V-11
