事例ID;センターID;会員タイプタグ;事例名（架空）;概要;言語化されていなかった条件;発覚段階;発覚時期（原文）;ロス月数;影響区分;二次的な影響;教訓・観点;関連観点ID（主）;関連観点ID（参考）
CS-001;SC-01;T01,T05;架空・転勤職の男性会員A;全国転勤のある職種。希望条件は年齢と居住地のみ記入していた。;転勤にお相手がついてくることを前提にしていたが、本人はそれを条件だと認識していなかった。;①プロフィール作成（入会面談）;入会面談で相談員が確認;0,5;条件の修正;なし;転勤のある職業では、転居の可否を入会面談で必ず言語化させる。;V-01;V-02,V-10
CS-002;SC-01;T02,T12;架空・長男の男性会員B;家業はないが実家は本人が継ぐ前提。プロフィールに記載なし。;いずれ実家に戻り両親と同居する見込みがあることを、両家顔合わせまで伝えていなかった。;④プロポーズ・両家顔合わせ;両家顔合わせの場;12;交際終了;相手会員が活動を一時休止した;長男・長女の会員には、同居の可能性を初期に確認する。「まだ決まっていない」も記録に残す。;V-04;V-05,V-11
CS-003;SC-02;T03;架空・子ども希望の女性会員C;子どもを希望。相手は「いずれは」と答えていた。;相手は子どもを望んでいなかったが、断定を避けた表現のまま仮交際に入った。;②お見合い〜仮交際;仮交際3か月目;3;交際終了;なし;「いずれ」「授かれば」は未確認として扱い、確認済にしない。;V-03;V-16
CS-004;SC-02;T05;架空・共働き希望の女性会員D;双方とも「協力し合いたい」で合意していた。;家事の実際の配分像が一致していなかった。同居の準備段階で表面化した。;③真剣交際;真剣交際・同居準備中;6;交際終了;なし;「協力し合う」は合意ではない。配分の形まで言語化させる。;V-06;V-02,V-11
CS-005;SC-01;T05;架空・共働き希望の男性会員E;双方とも正社員で収入は近い。;家計をひとつにまとめたい側と、分けたい側で前提が違った。;①プロフィール作成（入会面談）;入会面談で相談員が確認;1;条件の修正;なし;家計の管理方法は入会面談の基本項目にする。;V-07;V-08
CS-006;SC-03;T05;架空・会社員の男性会員F;収入は安定。借入の申告欄は空欄のまま。;奨学金と自動車ローンの残債があったが、切り出す機会がないままプロポーズに至った。;④プロポーズ・両家顔合わせ;プロポーズ後の両家相談;13;交際終了;相手のご家族との関係が悪化した;隠す意図がなくても伝わらない。共有する段階を先に決めさせる。;V-08;V-07
CS-007;SC-02;T13;架空・シフト勤務の女性会員G;夜勤を含むシフト制。プロフィールは職種のみ記載。;生活時間帯が大きくずれることを、条件だと認識していなかった。;②お見合い〜仮交際;仮交際2か月目;2;交際終了;なし;夜勤・在宅など勤務形態は、職種名だけでは伝わらない。;V-09;V-19
CS-008;SC-03;T06;架空・地元志向の女性会員H;「相手に合わせる」と回答していた。;実際には地元を離れる意思がなく、相手の勤務地との両立ができなかった。;②お見合い〜仮交際;仮交際・住まいの相談時;3,5;交際終了;なし;「相手に合わせる」は未確認。譲れる範囲を数値や地名で確認する。;V-10;V-01,V-11
CS-009;SC-02;T02,T06;架空・実家近居の男性会員I;毎週末に実家へ帰る習慣があった。;結婚後も同じ頻度を続ける前提だったが、本人は習慣として当然視していた。;②お見合い〜仮交際;仮交際3か月目;3;交際終了;なし;本人の習慣は条件として認識されない。頻度を数字で訊く。;V-11;V-04,V-15
CS-010;SC-03;;架空・家庭の慣習がある女性会員J;年中行事と食事に家庭固有の慣習があった。;本人には日常であり、相手に伝えるべきことだと思っていなかった。;③真剣交際;真剣交際・両家の顔合わせ準備中;8;交際終了;なし;家庭の慣習は絞り込み条件にせず、擦り合わせの論点として早期に共有する。;V-12;V-11
CS-011;SC-01;;架空・喫煙習慣のある男性会員K;プロフィールの喫煙欄が未記入だった。;喫煙習慣があり、相手は非喫煙者を強く希望していた。;①プロフィール作成（入会面談）;入会面談での記入確認;0,5;条件の修正;なし;申告漏れの起きやすい項目は、面談で口頭確認する。;V-13;V-20
CS-012;SC-02;T09;架空・猫と暮らす女性会員L;猫2匹と同居。ペット欄には記載していた。;相手に猫アレルギーがあることを、双方とも条件として確認していなかった。;②お見合い〜仮交際;仮交際・自宅訪問時;2;交際終了;なし;ペットは飼う側だけでなく、受け入れる側のアレルギーも確認する。;V-14;
CS-013;SC-01;;架空・交友の多い男性会員M;週末は趣味の仲間と過ごすことが多い。;結婚後も同じ頻度を続ける前提だったが、条件欄には現れていなかった。;①プロフィール作成（入会面談）;入会面談で相談員が確認;1;条件の修正;なし;週末の過ごし方は生活の前提。面談で先に言語化させる。;V-15;V-09
