タグID;タグ名;説明;判定キーワード例;該当事例ID;関連観点ID
T01;転勤のある職業;全国転勤や定期異動のある職種;転勤,異動,全国,支店;CS-001;V-01,V-02,V-10
T02;長男・長女（実家の事情）;実家を継ぐ・戻る可能性がある;長男,長女,実家,家業,継ぐ;CS-002,CS-009,CS-018;V-04,V-05,V-11
T03;子どもを強く希望;子どもを持つことを主要な条件としている;子ども,出産,家族をつくりたい;CS-003,CS-015;V-03,V-17
T04;再婚（前婚歴あり）;前婚歴または子どもがいる;再婚,前婚,養育費,面会;CS-014;V-16,V-07
T05;共働き希望;結婚後も双方が就労を継続する前提;共働き,仕事を続けたい,正社員;CS-001,CS-004,CS-005,CS-006;V-02,V-06,V-07
T06;地方在住・地元志向;地元を離れる意思が弱い;地元,実家の近く,県内;CS-008,CS-009;V-10,V-11
T07;通院・治療あり;継続的な通院や治療がある;通院,治療,持病;CS-015;V-17,V-03
T08;経営者・自営・独立志向;独立や起業の可能性がある;自営,経営,独立,起業;CS-016;V-18,V-02
T09;ペットと同居;ペットを飼っている／飼いたい;犬,猫,ペット;CS-012;V-14
T11;遠距離;居住地が離れている;遠距離,県外,新幹線;CS-017;V-19,V-09
T12;親の介護が視野;親の介護が近い将来に想定される;介護,親の体調,通院の付き添い;CS-002,CS-018;V-05,V-04
T13;夜勤・在宅など勤務形態が特殊;生活時間帯が一般的な日勤とずれる;夜勤,シフト,在宅,リモート;CS-007;V-09,V-19
