観点ID;大分類;小分類;観点名;AIの質問例;根拠タイプ;優先度;発火タイミング;対象会員タイプタグ;発火条件;関連事例ID（主）;関連事例ID（参考）;見落とされやすい理由;取扱い区分;想定回答パターン;希望条件文テンプレート;紐づくカード項目;表示方法
V-01;前提条件;居住・勤務;転居・転勤の可否;お相手の転勤や転居に、ついていくことはできますか？;基本チェック項目;高;初期;;always;CS-001;CS-008;「結婚したら一緒に住む」は当然すぎて、どちらがどこへ動くかを詰めないまま進む。;絞り込み可;ついていける／自分は動けない／条件つきで可／未定;転居・転勤への対応は{回答}とする。;勤務地・居住地;カード表示＋Q&A
V-02;前提条件;就労;結婚後の就労継続;結婚後もお仕事は続けたいですか？お相手にはどうしてほしいですか？;基本チェック項目;高;初期;;always;CS-001;CS-016;「共働き希望」と書いても、時短か正社員継続かで前提が全く違う。;絞り込み可;正社員で継続／時短に切り替えたい／退職したい／相手に合わせる;結婚後の就労は{回答}を希望する。;働き方;カード表示＋Q&A
V-03;ライフプラン;子ども;子どもの希望;お子さんを望まれますか？希望する人数やタイミングはありますか？;基本チェック項目;高;初期;;always;CS-003;CS-015;最も基本的な条件でありながら、初対面で訊きにくいため先送りされる。;絞り込み可;希望する／希望しない／授かれば／相手と相談して決めたい;子どもについては{回答}。;ライフプラン;カード表示＋Q&A
V-04;ライフプラン;親との同居;お相手のご両親との同居の可能性;将来、お相手のご両親と同居する可能性は確認されていますか？;過去事例由来;高;カード更新時;T02;"tag.hasAny(""T02"") OR keyword(""長男"",""実家"",""家業"") OR field.hasAny(""ライフプラン"")";CS-002;CS-018;本人にも「いずれ」としか見えておらず、両家顔合わせで初めて言葉になる。;絞り込み可;同居できる／同居は難しい／近居なら可／時期による;お相手のご両親との同居は{回答}。;ライフプラン;カード表示＋Q&A
V-05;ライフプラン;介護;ご両親の介護の見通し;ご自身・お相手のご両親の介護が、近い将来に始まる見通しはありますか？;過去事例由来;中;中盤;T12;"tag.hasAny(""T12"") OR keyword(""介護"",""親の体調"",""実家に戻"")";CS-018;CS-002;結婚の話題からは遠く、当事者も「まだ先」と考えて口に出さない。;絞り込み可;見通しがある／当面ない／兄弟姉妹で分担予定／わからない;ご両親の介護については{回答}。;ライフプラン;Q&Aのみ
V-06;生活;家事・育児;家事・育児の分担の考え方;家事と育児は、どのように分担したいとお考えですか？;過去事例由来;高;カード更新時;T05;"tag.hasAny(""T05"") OR keyword(""共働き"",""家事"",""育児"") OR field.hasAny(""働き方"")";CS-004;CS-002;「協力し合いたい」で合意した気になるが、実際の配分像は一致していない。;絞り込み可;半々にしたい／自分が多めに担う／相手に多めに担ってほしい／外部サービスを使う;家事・育児の分担は{回答}を希望する。;生活スタイル;カード表示＋Q&A
V-07;生活;家計;家計の管理方法;結婚後の家計は、ひとつにまとめたいですか、それぞれ分けたいですか？;基本チェック項目;高;初期;;always;CS-005;CS-006;「そのうち決めればいい」と流されるが、金銭観の違いが最も表に出る論点。;絞り込み可;ひとつにまとめたい／分けたい／共通費だけ出し合う／決めていない;家計の管理は{回答}を希望する。;生活スタイル;カード表示＋Q&A
V-08;生活;家計;貯蓄・借入の状況の共有時期;貯蓄や借入の状況は、どの段階でお相手に共有するお考えですか？;過去事例由来;高;中盤;;"keyword(""収入"",""貯金"",""ローン"",""奨学金"") OR field.hasAny(""生活スタイル"")";CS-006;CS-005;本人に隠す意図がなくても、切り出す機会がないまま婚約まで進む。;論点のみ（絞り込み不可）;早い段階で共有したい／真剣交際に入ってから／プロポーズ前に／相談したい;貯蓄・借入の共有は{回答}。;―;Q&Aのみ
V-09;生活;生活時間;生活時間帯・勤務形態;起床や就寝の時間帯、夜勤や在宅勤務の有無はいかがですか？;過去事例由来;中;カード更新時;T13;"tag.hasAny(""T13"") OR keyword(""夜勤"",""シフト"",""在宅"",""リモート"")";CS-007;CS-019;条件欄にないため書かれないが、同居すると毎日効いてくる。;絞り込み可;朝型／夜型／シフト制・夜勤あり／在宅中心;生活時間帯は{回答}。;生活スタイル;カード表示＋Q&A
V-10;生活;住まい;住まいの希望（地域・持ち家／賃貸）;結婚後はどのあたりに、持ち家と賃貸のどちらで住みたいですか？;過去事例由来;中;カード更新時;T06;"tag.hasAny(""T06"") OR keyword(""実家の近く"",""地元"",""マイホーム"") OR field.hasAny(""勤務地・居住地"")";CS-008;CS-001;「相手と相談して」で保留され、真剣交際で初めて食い違いが出る。;絞り込み可;都市部の賃貸／郊外の持ち家／地元に住みたい／相手に合わせる;住まいは{回答}を希望する。;勤務地・居住地;カード表示＋Q&A
V-11;価値観;実家;実家との距離感・帰省の頻度;ご実家へはどのくらいの頻度で帰られますか？結婚後も同じ頻度を望まれますか？;過去事例由来;中;カード更新時;T02,T06;"tag.hasAny(""T02"",""T06"") OR keyword(""実家"",""帰省"",""地元"")";CS-009;CS-004;本人にとっては当たり前の習慣なので、条件だと認識されていない。;絞り込み可;月1回以上／年に数回／ほとんど帰らない／相手と相談したい;実家との距離感は{回答}。;生活スタイル;Q&Aのみ
V-12;価値観;信仰・慣習;信仰・家庭内の慣習;ご家庭の行事やお食事などで、続けたい慣習はありますか？;過去事例由来;中;中盤;;"keyword(""行事"",""お参り"",""食事の決まり"",""しきたり"")";CS-010;CS-002;本人には日常であり、相手に伝えるべき「条件」だと思っていない。;論点のみ（絞り込み不可）;特にない／続けたい慣習がある／相手に合わせられる／相談したい;家庭内の慣習について{回答}。;―;Q&Aのみ
V-13;価値観;嗜好;喫煙・飲酒;喫煙・飲酒の習慣と、お相手に望むことを教えてください。;基本チェック項目;中;初期;;always;CS-011;CS-013;プロフィールの申告漏れが起きやすく、お見合いの場で初めて分かる。;絞り込み可;吸わない・飲まない／飲酒のみ／喫煙あり／相手は吸わない人がよい;喫煙・飲酒については{回答}。;生活スタイル;カード表示＋Q&A
V-14;価値観;ペット;ペットの希望とアレルギー;ペットを飼っている、または飼いたいお考えはありますか？アレルギーはいかがですか？;過去事例由来;低;カード更新時;T09;"tag.hasAny(""T09"") OR keyword(""犬"",""猫"",""ペット"",""アレルギー"")";CS-012;;飼っている側は前提、飼えない側も前提。どちらも条件だと思っていない。;絞り込み可;飼っている／飼いたい／飼えない（アレルギー等）／こだわらない;ペットについては{回答}。;生活スタイル;カード表示＋Q&A
V-15;価値観;交友;友人・同僚との付き合い方;週末や平日夜の、ご友人や同僚との過ごし方はいかがですか？;過去事例由来;低;中盤;;"keyword(""飲み会"",""趣味の仲間"",""週末"") OR field.hasAny(""生活スタイル"")";CS-013;CS-009;本人の生活リズムそのものなので、擦り合わせの対象だと気づかない。;絞り込み可;家庭を優先したい／これまでどおり続けたい／相手と一緒に過ごしたい／相談したい;交友の時間の使い方は{回答}。;生活スタイル;Q&Aのみ
